S.No,State/UT,2016-17,2017-18,2018-19,2019-20
1,Andhra Pradesh,202.53,404.05,407.81,#N/A
2,Assam,374.47,390.7,254.43,288.62
3,Bihar,125.16,183.45,#N/A,957.6
4,Chhattisgarh,#N/A,#N/A,99.75,#N/A
5,Delhi,#N/A,#N/A,82.08,72.96
6,Gujarat,134.59,358.01,#N/A,#N/A
7,Haryana,538.23,489.3,196.9,#N/A
8,Himachal Pradesh,96,266,385.17,385.17
9,J&K,104,118.06,212.8,#N/A
10,Kerala,64,66.5,26.6,119.7
11,Lakshadweep,1.8,14.4,14.4,#N/A
12,Maharashtra,638.4,766.08,531.45,100
13,Manipur,#N/A,#N/A,#N/A,116.2
14,Mizoram,6.05,4.53,#N/A,#N/A
15,NA,#N/A,#N/A,#N/A,107.25
16,Odisha,682.73,502.95,#N/A,382.23
17,Puducherry,#N/A,#N/A,#N/A,36
18,Punjab,136.8,140,139.65,#N/A
19,Rajasthan,#N/A,#N/A,#N/A,3000
20,Telangana,169.3,284.74,273.8,#N/A
21,Tripura,41.18,#N/A,#N/A,5.16
22,Uttarakhand,95.84,#N/A,105.64,134.06
23,West Bengal,292.8,456.26,684.13,756.65
Total,Total,3703.88,4445.03,3450.61,6461.6